ID,calorie,water,carbohydrate,fiber,sugar,protein,fat,sfat,cholesterol,sodium,potassium,calcium,vit_A,vit_C,vit_D,vit_E,vit_K,vit_B6,vit_B12,thiamin,riboflavin,niacin,iron,folat,pantotenik,fosfor,magnesium,cinko,copper,selenium,manganese,Class
1211,485,946.000.000,58.5,0,0,7.1,24,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,Mikrogram,0,0,0,0,0,0,0,Bitkisel
1212,29.68,93.1,4,1.42,1.99,0.73,1.47,0.21,0,70.86,111.88,27.35,921.12,19.58,0.0,0.33,36.15,0.08,0,0.03,0.02,0.18,0.26,21.77,0.13,16.06,7.15,0.1,0.01,0.18,0.09,Bitkisel
1213,42,89.81,4,2,01.07,1.82,2.59,356,0,388.0,532.0,56.0,0.0,17.4,0.0,2.13,320.2,82,0,33,83,349,2.2,9,0,32,83,0.32,158,0.9,0,Hayvansal
1214,45,88.3,10.4,0.2,8.4,0.7,0.2,24,0,1.0,200.0,11.0,200.0,50,0.0,0.04,0.1,0.04,0,0.09,0.03,0.4,0.2,30,0.19,17,11,0.05,44,0.1,14,Bitkisel
1215,375,9.81,82.75,1.9,0.64,5.59,1.39,171,0,1.0,90.0,2.0,214.0,0,0.0,0.15,0.3,97,0,74,58,2.656,0.91,48,52,60,18,0.37,142,8,56,Bitkisel
1216,158,67.95,14.69,1.2,4.25,8.16,7.81,1.574,40,338.0,139.0,20.0,11.0,4.9,8.0,0.85,19.1,142,0.34,46,95,1.678,0.92,22,0,80,24,1.22,91,9.6,0,Bitkisel
1217,62,84.17,13.63,0,0,0.5,1.3,0,0,3.0,260.0,11.0,40.0,38,0.0,0,0,0,0,0.04,0.06,0.2,1.31,Mikrogram,0,7,16,0,0.21,0,0,Bitkisel
1218,30,92.11,4.41,0,4.1,2.9,0.06,0.06,1.76,50.0,0.0,100.0,170.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mix
1219,322,52.31,3.59,0,56.000.000,15.86,26.54,9.551,1085,48.0,109.0,129.0,1442.0,0,218.0,2.58,0.7,0.35,1.95,176,528,24,2.73,146,2.99,390,5,2.3,77,56,55,Hayvansal
1220,78.27,80.94,11.34,4.13,1.54,3.82,2.33,0.34,0,327.89,256.92,34.37,744.35,10.72,0.0,0.6,85.68,0.07,0,0.08,0.03,0,1.24,83.63,0.14,60.18,24.3,0.52,0.11,0.8,0.19,Bitkisel
1221,884,0,0,0,0,0,100,85.2,0,0.0,0.0,0.0,0.0,0,0.0,60.000.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bitkisel
1222,64,87.69,4.65,0,0,3.28,3.66,2.278,14,49.0,151.0,119.0,138.0,1.5,0.0,0,0,42,0.36,38,161,8.400.000,0.05,5,313,93,13,0.38,0.01,2,4,Hayvansal
1223,417,8.26,62.7,3.8,7.8,7.8,15,830.000.000,0,1900.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mix
1224,357,28.97,53.21,0.2,51.5,1.17,16.31,15.472,0,36.0,101.0,4.0,0.0,0,0.0,0.13,0.1,29,0,22,0.04,38,0.13,14,163,22,17,60.000.000,236,5.5,81.500.000,Bitkisel
1225,97.38,75.07,16.97,1.33,1.32,3.5,1.67,0.64,4.21,839.18,189.4,20.57,928.06,34.54,0.12,0.36,99.31,0.09,0.13,0.16,0.12,0,1.49,52.32,0.19,45.42,14.37,0.47,0.07,7.24,0.2,Mix
1226,55.11,86.83,8.96,1.54,3.53,1.24,1.95,0.26,0,147.98,253.55,17.57,1335.07,21.27,0.0,0.74,5.31,0.14,0,0.06,0.05,0.68,0.41,16.69,0.21,33.21,14.53,0.23,0.08,0.47,0.15,Bitkisel
1227,60,82.75,15.14,1.1,0,1.31,0.1,0,0,0.0,266.0,1.0,0.0,84,0.0,0,0,0,0,31,0.14,0.3,0.13,Mikrogram,0,21,10,0.05,169,0,52,Bitkisel
1228,22,93.3,5.23,0,0,1.14,0.05,0,0,11.0,107.0,22.0,0.0,37,0.0,0,0,0,0,48,43,0.25,56.000.000,57,0,21,12,0,0,0.7,0,Bitkisel
1229,426,19.6,50.8,1.5,0,5.2,22.9,5.926,32,402.0,102.0,60.0,10.0,0.1,0.0,0,0,27,0.24,233,198,1.512,01.06,46,435,117,17,0.44,101,9.6,334,Hayvansal
1230,133.76,72.27,8.45,01.09,02.09,12.28,5.52,2.11,34.11,337.08,288.85,29.69,479.41,19.4,0.75,0.34,5.69,0.24,01.04,0.08,0.14,3.47,1.68,20.29,0.39,122.06,21.27,2.67,0.09,12.06,0.21,Hayvansal
1231,422,17.06,53.2,4.4,35.5,7,21.9,9.4,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,Mikrogram,0,0,0,0,0,0,0,Mix
1232,38.03,91.27,4.83,0.82,2.4,01.04,1.95,0.75,3.18,115.88,197.05,23.73,61.11,4.57,0.69,0.98,02.09,0.05,0.03,0.02,0.04,0.68,0.8,6.42,0.2,26.1,10.75,0.2,0.12,0.74,0.08,Mix
1233,290,54.33,0,0,0,23.27,21.12,09.08,93,64.0,250.0,18.0,0.0,0,0.0,0,0,0.13,2.2,0.1,0.24,07.05,2.17,20,0.66,185,24,3.52,122,25.2,21,Hayvansal
1234,336,10.51,72.13,0,0,13.05,02.09,366,0,5.0,332.0,37.0,0.0,0,0.0,0.9,0,138,0,416,134,1.43,2.57,73,1.323,358,130,3.45,457,0,3.21,Bitkisel
1235,28.57,935.999.999,3.57,0,0,1.79,0.72,0.36,1.5,7.0,50.0,45.0,66.0,0,17.0,6,0.03,17,0.17,0.01,0.06,33,0.01,2,121,35,3,0.12,7,1.3,1,Mix
1236,16,95.64,2.26,0.9,0.48,1.33,0.22,17,0,25.0,187.0,33.0,7492.0,3.7,0.0,0.15,140.3,0.1,0,64,77,321,1.2,36,144,28,12,0.2,28,1.5,203,Bitkisel
1237,26,915.999.999,6.5,0.5,2.76,1,0.1,52,0,1.0,340.0,21.0,8513.0,9,0.0,01.06,1.1,61,0,0.05,0.11,60.000.000,0.8,16,298,44,12,0.32,127,0.3,125,Bitkisel
1238,43,88.06,10.82,1.7,7.82,0.47,0.26,81,0,8.0,182.0,20.0,950.0,60.9,0.0,0.3,2.6,38,0,23,27,357,0.25,37,191,10,21,0.08,45,60.000.000,0.04,Bitkisel
1239,209,54.79,26.78,3.6,1.7,8.56,7.86,3.191,16,513.0,255.0,114.0,28.0,0.4,0.1,0.49,3,117,0.37,166,111,2.148,2.22,89,0,160,31,1.28,147,12,0,Mix
1240,220,44.23,44.08,2.8,27.26,3.31,3.39,56.800.000,3,1615.0,119.0,32.0,6.0,0.4,0.0,0.28,0.5,62,0,4,217,1.17,01.01,23,68,38,24,0.32,128,1.8,254,Bitkisel
1241,159.45,68.96,2.26,0.43,0.23,19.47,7.92,3.43,81.84,423.75,308.33,23.03,212.3,0.06,8.31,0.36,1.47,0.31,02.03,0.07,0.19,0,2.23,11.91,0.72,192.3,24.24,4.32,0.09,19.07,0.13,Hayvansal
1242,352,8.26,63.35,10.7,02.03,24.63,01.06,154,0,6.0,677.0,35.0,39.0,4.5,0.0,0.49,5,0.54,0,873,211,2.605,6.51,479,2.14,281,47,3.27,754,0.1,1.393,Bitkisel
1243,42,88,919.999.999,1.8,1.6,1.5,0.3,79,0,100.0,300.0,43.0,0.0,8,0.0,0.36,41,165,0,0.05,0.06,0.7,0.7,8,352,115,20,0.33,7.000.000,0.7,158,Bitkisel
1244,138.67,63.26,35.24,01.07,34.37,0.65,0.27,0.06,0.23,0.99,135.78,4.59,201.03,4.7,0.06,0.52,1.86,0.02,0,0.02,0.03,0,0.19,2.85,0.11,14.26,6.4,0.12,0.05,0.24,0.04,Bitkisel
1245,717,16.52,0.7,0,0,0.16,807.099.999,15.189,0,751.0,18.0,3.0,3571.0,0.2,0.0,9,93,900.000,0.1,0.01,37,23,0.06,1,0,5,3,0,0,0,0,Bitkisel
1246,153.16,71.42,5.92,0.54,3.56,11.53,9.29,1.35,12.76,508.44,256.1,25.45,10297.14,12.56,0.0,1.96,79.69,0.22,0.91,0.02,0.05,0,0.88,24.52,0.23,123.78,23.34,0.33,0.07,24.92,0.11,Hayvansal
1247,365.03,37.47,13.37,1.11,1.56,19.62,25.85,7.57,56.64,1128.32,150.74,215.23,4266.51,0.05,9.13,2.64,3.27,0.13,01.09,0.14,0.21,1.46,1.79,26.61,0.2,234.31,25.22,3.45,0.07,18.57,0.35,Mix
1248,37,903.199.999,7.73,3.3,04.08,0.58,0.68,0.12,0,59.0,192.0,35.0,16928.0,2.3,0.0,01.01,13.6,8.400.000,0,0.03,37,416,0.53,11,174,31,11,0.35,82,60.000.000,167,Bitkisel
1249,93.71,81.02,4.4,1.54,1.79,7.13,5.41,1.89,75.36,366.29,264.78,148.21,7529.78,50.5,16.64,1.43,168.58,0.2,0.38,0.06,0.22,0.52,1.69,71.98,0.47,131.69,37.17,01.04,0.07,8.78,0.34,Bitkisel
1250,262,26.69,69.7,7.5,62.2,1.87,0.63,35,0,6.0,533.0,34.0,3.0,7,0.0,0.06,20.4,7.200.000,0,8,145,1.372,2.1,0,153,59,33,0.39,371,0.2,327,Bitkisel
1251,364,43.14,13.29,0.8,2.25,12.25,29.32,15.847,154,367.0,118.0,271.0,261.0,0.5,44.0,0.85,3.3,77,0.63,77,282,747,01.06,26,0,233,18,1.62,56,17.4,0,Hayvansal
1252,325,10.75,68.63,23.8,2.31,15.91,2.22,269,0,2.0,717.0,37.0,11.0,0,0.0,2.73,5.9,443,0,316,251,4.27,4.97,33,1.456,499,160,05.04,56.000.000,18,6.062,Bitkisel
1253,6,97.81,0.44,0,0.43,0.64,0.21,13,2,371.0,18.0,4.0,2.0,0,0.0,0.04,0,0,0.02,21,59,219,7.000.000,0,0,4,1,7.000.000,15,0.4,15,Hayvansal
1254,373,6.43,82.33,4.5,2.5,822.000.000,1.2,0.2,0,2.0,431.0,34.0,0.0,0,0.0,0,0,419,0,419,121,6.738,3.52,43,93.500.000,508,144,4.16,553,894.000.000,3.012,Bitkisel
1255,218,59.31,1.18,0,0,28.18,10.3,2.78,102,95.0,259.0,13.0,70.0,0,8.0,0,0,0.38,0.33,8.799.999,255,7.12,1.46,9,1.285,199,26,2.79,0.09,20.5,27,Hayvansal
1256,273,52.08,872.000.000,0.3,0,21.77,16.17,4.28,90,279.0,189.0,18.0,91.0,0,0.0,0,0,0.27,0.28,116,221,5.433,1.4,18,994,152,20,2.17,0.08,26.6,54,Hayvansal
1257,175,645.400.000,7.79,0,0,17.94,7.48,1.878,260,306.0,279.0,39.0,35.0,4.2,0.0,0,0,58,1.23,56,458,2.602,01.01,14,0.51,251,38,1.74,2.114,51.8,7.000.000,Mix
1258,92,78.55,03.08,0,0,15.58,1.38,358,233,44.0,246.0,32.0,33.0,4.7,0.0,1.2,0,56,1.3,0.02,412,2.175,0.68,5,0.5,221,33,1.53,1.891,44.8,35,Hayvansal
1259,395,10.86,74.2,6.5,28.4,7.9,5.9,2.9,0,0.0,0.0,563.0,0.0,0,0.0,0,0,1.28,0,0.93,1.26,14.5,9.1,140,5.28,0,0,0,0,0,0,Bitkisel
1260,228,3,57.9,37,1.75,19.6,13.7,08.07,0,21.0,1524.0,128.0,0.0,0,0.0,0.1,2.5,118,0,78,241,2.185,13.86,32,254,734,499,6.81,3.788,14.3,3.837,Bitkisel
1261,283,22.81,767.900.000,0,76.77,0,0.2,0,0,62.0,1.0,13.0,0.0,0,0.0,0,0,0,0,59,0,0,0,0,0,0,1,0.44,0,0.7,0,Bitkisel
1262,149.92,71.58,9.74,0.9,1.56,09.01,8.47,3.38,38.42,317.13,225.2,31.22,1504.16,13.77,7.44,0.79,5.56,0.18,0.81,0.12,0.12,0.78,1.29,23.65,0.38,99.24,17.18,1.8,0.08,10.58,0.16,Hayvansal
1263,486,905.000.000,58.59,3.7,46.19,4.6,26.6,20.58,2,145.0,321.0,21.0,0.0,0.4,0.0,0.19,1.6,0.09,0,49,58,277,02.09,6,245,91,55,1.1,0.4,6.6,948,Mix
1264,221,41,44.1,7.3,878.999.999,9.6,2.3,363,0,396.0,228.0,288.0,0.0,0,0.0,0.44,1.1,159,0,261,137,3.336,2.66,45,491,307,77,1.74,225,43.8,1.946,Mix
1265,190,63.79,0,0,0,28.93,7.41,02.04,89,86.0,243.0,15.0,53.0,0,5.0,0.27,2.4,0.47,0.33,6.900.000,178,9.173,1.21,6,1.104,195,25,2.1,67,22,19,Hayvansal
1266,57,839.599.999,15.23,3.1,9.75,0.36,0.14,22,0,1.0,116.0,9.0,25.0,4.3,0.0,0.12,4.4,29,0,12,26,161,0.18,7,49,12,7,0.1,82,0.1,48,Bitkisel
1267,101,743.499.999,19.17,2.9,2.75,3.78,1.66,231,1,212.0,204.0,19.0,0.0,1,0.0,1.27,7,132,0,92,81,3.507,1.24,17,0,82,37,0.79,156,19.5,0,Bitkisel
1268,526,0.9,26.62,0,0,30.78,37.1,5.196,0,41.0,423.0,159.0,69.0,0,0.0,0,0,152,0,2.684,286,13.369,15.17,31,2.928,807,361,10.67,1.52,0,1.489,Bitkisel
1269,884,0,0,0,0,0,100,9.1,0,0.0,0.0,0.0,0.0,0,0.0,0.4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bitkisel
1270,157,73.37,0,0,0,16.53,10.01,2.87,43,104.0,383.0,55.0,50.0,0,185.0,0.57,0.1,143,4.18,55,256,14.024,0.85,9,645,174,28,1.72,211,36.5,7.000.000,Mix
1271,30,91.3,7.14,1.2,6.53,0.73,0.09,11,0,143.0,159.0,18.0,23.0,2.8,0.0,0.03,0.2,55,0,0.01,38,151,0.73,29,0.15,15,18,0.34,43,0.1,411,Bitkisel
1272,239,31.8,61.33,819.999.999,41.74,3.61,0.76,82,0,7.0,996.0,28.0,2163.0,4.8,0.0,0.19,15.7,67,0,2,212,4.375,04.06,0,56.400.000,119,42,57.000.000,364,0.5,305,Bitkisel
1273,298,6.68,52.39,5.6,03.04,31.84,04.01,1.356,0,575.0,1244.0,372.0,0.0,5,0.0,5,25,334,0,1.195,1.946,6.511,24.95,337,0,85,482,3.9,3.355,7.3,0,Bitkisel
1274,87.91,84.9,3.32,01.05,1.93,3.79,6.87,1.41,92.38,231.18,199.37,22.27,7268.2,19.99,20.36,1.34,8.65,0.12,0.22,0.04,0.12,0.44,0.7,21.77,0.45,66.56,11.29,0.44,0.06,7.66,0.12,Mix
1275,308,16,82.36,5.7,65,7.000.000,1.37,103,0,3.0,40.0,10.0,0.0,0.2,0.0,01.07,3.8,38,0,7,16,0.99,0.53,0,217,8,5,0.11,0.08,0.5,265,Bitkisel
1276,42,909.000.000,4.92,2.7,1.83,0.62,2.54,1.017,4,254.0,168.0,13.0,20.0,7.7,0.0,0.42,5.8,157,0,25,0.04,406,0.22,17,0,29,12,0.3,106,0.3,0,Bitkisel
1277,536,1.86,62,2.3,43.8,6.9,28.5,14.8,0,120.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,Mikrogram,0,0,0,0,0,0,0,Mix
1278,884,0,0,0,0,0,100,81.2,0,0.0,0.0,0.0,0.0,0,0.0,19.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bitkisel
1279,72.43,87.53,0.45,0.03,0,7.33,4.4,1.29,26.68,182.84,54.22,13.43,214.35,0,1.97,0.66,1.24,0.06,0.06,0.02,0.06,0,0.43,3.24,0.25,42.06,06.06,0.77,0.02,7.51,0.02,Mix
1280,194,64.06,0,0,0,27.82,8.32,3.452,80,56.0,338.0,15.0,0.0,0,0.0,0.38,1.4,579,1.74,74,142,8.208,1.84,9,546,211,23,5.11,8.600.000,31.2,0.01,Hayvansal
1281,441,16.42,52.94,2.9,26.47,8.82,20.59,4.41,29,59.0,0.0,59.0,294.0,0,0.0,0,0,0,0,0,0,0,01.06,0,0,0,0,0,0,0,0,Bitkisel
1282,225,62.84,3.8,0,0,12,18,930.000.000,60,1281.0,103.0,340.0,0.0,0,0.0,0,0,44,0.67,24,152,167,0.3,0,0,282,18,1.63,0,5,0,Hayvansal
1283,113,75.61,16.81,1.5,1.43,1.86,4.22,2.613,11,317.0,284.0,24.0,138.0,6,10.0,0.12,2,222,7.000.000,8.600.000,41,1.072,0.26,8,468,45,18,0.27,138,0.8,114,Mix
1284,77,86.02,2.93,0,2.93,4.91,05.02,117,12,52.0,179.0,126.0,30.0,0,74.0,0.21,0,35,0.42,54,231,795,0.03,7,331,110,13,0.4,17,1.3,900.000,Hayvansal
1285,679,2.73,2.1,0,7.000.000,33.73,58.13,18.116,2307,163.0,264.0,307.0,2721.0,0,458.0,4.81,1.5,842,06.02,387,1.257,83,9.5,209,906.300.000,1040,26,7.73,12,139.3,185,Hayvansal
1286,116.27,73.84,19.01,0.17,9.94,3.29,3.18,1.95,10.88,42.49,137.36,105.34,219.18,0.82,31.39,0.04,0.17,0.05,0.31,0.05,0.15,0.3,0.15,7.28,0.32,88.83,13.27,0.39,0.02,3.19,0.06,Bitkisel
1287,30,92.69,3.51,0.3,2.61,2.38,0.77,5,0,48.0,117.0,123.0,61.0,0,1.2,0.06,1.6,16,1,37,201,222,0.43,9,0,87,15,0.23,8.599.999,2.3,0,Bitkisel
1288,82,81.22,0,0,0,17.81,0.67,131,43,54.0,413.0,16.0,40.0,1,36.0,0.64,0.1,245,0.91,76,65,2.063,0.38,7,153,203,32,0.45,28,33.1,15,Hayvansal
1289,237,644.599.999,2.41,0,0,0.05,0,0,0,4.0,98.0,0.0,0.0,0,0.0,0,0,19,0,8,7.100.000,318,0.13,0,26,22,5,0.06,23,0,482,Bitkisel
1290,351,11.23,701.800.000,880.000.000,1.18,14.04,2.63,0,0,1.0,456.0,70.0,208.0,0,0.0,0,0,351,0,1,175,4.386,3.3,0,0,404,114,4.91,0,0,4,Bitkisel
1291,25,90.5,05.06,2.4,2.33,1.86,0.29,38,0,669.0,128.0,11.0,0.0,0,8.0,0.01,0,61,0,0.08,21,1.583,0.79,11,0,66,15,0.72,234,4.1,0,Hayvansal
1292,334,38.64,37.43,0.9,22.05,4.41,18.52,7.055,66,265.0,68.0,35.0,88.0,0,11.0,0.95,6.7,41,0.17,263,241,1.908,0.95,66,471,71,10,0.45,0.06,15.5,224,Mix
1293,446,853.999.999,30.16,930.000.000,7.33,36.49,19.94,2.884,0,2.0,1797.0,277.0,22.0,6,0.0,0.85,47,377,0,874,0.87,1.623,15.7,375,793,704,280,4.89,1.658,17.8,2.517,Bitkisel
1294,311,827.999.999,68.47,28,0,10.76,6.7,0.68,0,18.0,1119.0,383.0,0.0,21,0.0,0,0,0.23,0,198,182,1.102,13.97,Mikrogram,0,178,229,7.47,383,0,28,Bitkisel
1295,220,640.100.000,0,0,0,24.17,12.92,3.57,84,73.0,176.0,11.0,124.0,0,5.0,0.27,3.5,0.18,0.2,54,191,4.59,1.35,6,81.200.000,139,20,2.43,7.100.000,18.9,19,Hayvansal
1296,27,92.87,6.9,0,6.87,0,7.000.000,0,0,13.0,3.0,4.0,0.0,2.9,0.0,0,0,0,0,0,1,0,0.01,0,0,7,13,0.01,11,0,1,Bitkisel
1297,40.11,91.6,4.39,1.14,2.95,0.85,2.45,0.34,0,145.63,137.98,17.93,953.3,3.11,0.0,0.5,23.77,0.04,0,0.04,0.02,0,0.42,27.75,0.08,19.2,6.92,0.15,0.02,0.11,0.12,Bitkisel
1298,302,39.38,29.76,2.4,3.51,13.46,14.28,6.508,30,738.0,198.0,311.0,73.0,2.8,0.0,1.25,919.999.999,66,0.59,195,171,2.456,1.63,92,0,309,24,1.7,96,20.4,0,Mix
1299,208,60.61,0.65,0,0,28.38,9.32,2.49,99,96.0,254.0,13.0,66.0,0,0.0,0,0,0.39,0.34,83,247,6.688,1.4,9,1.301,193,25,2.98,8.600.000,18.8,25,Hayvansal
1300,475,2.9,60,2.5,52.5,7.5,27.5,12.5,10,38.0,0.0,100.0,0.0,0,0.0,0,0,0,0,0,0,0,0.9,Mikrogram,0,0,0,0,0,0,0,Mix
1301,2.4,0,0,0,0,0,0,0,0,8.0,0.5,2.0,0.5,0,0.0,0,0,0,0,0,0,0,0.04,0,0,0,0.4,0.05,0.04,0,0,Bitkisel
1302,131,732.600.000,60.000.000,60.000.000,57.000.000,14,971.000.000,3.026,272,142.0,138.0,56.0,540.0,0,82.0,01.05,0.3,0.17,0.89,0.04,457,75,1.75,47,1.533,198,12,1.29,7.200.000,30.7,28,Hayvansal
1303,348,936.999.999,66.5,5,0,13,2.2,0.1,0,1357.0,435.0,250.0,0.0,0,0.0,0,0,0.08,0,0.2,0.2,1.1,3.7,0,0,400,100,2,0,5,0,Bitkisel
1304,70,803.199.999,18.59,3.6,12.53,0.58,0.19,0.02,0,1.0,161.0,8.0,1627.0,7.5,0.0,0.73,2.6,0.1,0,0.03,0.02,0.1,0.15,8,0,17,9,0.11,113,60.000.000,355,Bitkisel
1305,222,3.58,88.88,39.8,49.08,4.62,0.65,0.09,0,35.0,827.0,348.0,14.0,0.2,0.0,0.63,0,366,0,53,461,1.897,2.94,29,47,79,54,0.92,571,5.3,508,Bitkisel
1306,90,796.500.000,0,0,0,19.99,0.55,111,66,261.0,351.0,14.0,62.0,0,23.0,0.55,0.1,327,2.13,23,6.900.000,4.119,0.21,13,494,278,26,0.4,26,31.7,13,Hayvansal
1307,346.47,22.99,54.91,2.2,2.19,8.8,9.97,02.06,3.99,728.11,339.89,50.32,201.11,0.23,0.9,01.09,7.19,0.32,0.05,0.32,0.11,0,2.75,32.88,0.72,400.03,111.03,3.26,0.43,66.8,2.34,Bitkisel
1308,112,722.600.000,18.5,2.7,2.31,6.14,2.14,0.37,9,206.0,201.0,19.0,1.0,0.8,0.0,01.08,5.7,158,7.000.000,97,0.09,3.979,1.27,17,0,102,38,0.95,158,21.8,0,Mix
1309,528,5.56,58.4,0,40.8,7.2,28.8,14.2,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,Mikrogram,0,0,0,0,0,0,0,Hayvansal
1310,337,51.84,0,0,0,18.99,28.35,9.67,84,59.0,204.0,11.0,210.0,0,3.0,0.7,5.1,0.18,0.3,174,269,4.825,2.7,6,1.098,156,16,1.86,227,20,19,Hayvansal
1311,245,51.2,33.5,0,0,2.7,11.9,2.911,0,185.0,50.0,7.0,42.0,0.7,0.0,0,0,34,0,153,132,1.194,1.23,23,124,30,8,0.2,67,7.4,0.3,Bitkisel
1312,239,40.2,52.36,0,0,4.48,1.19,175,0,4.0,477.0,19.0,5.0,38.4,0.0,0,0,437,0,0.15,0.09,1.5,1.5,72,592,102,90,0.93,387,0,1.708,Bitkisel
1313,47,86.75,11.75,2.4,9.35,93.999.999,0.12,15,0,0.0,181.0,40.0,225.0,53.2,0.0,0.18,0,0.06,0,8.700.000,0.04,282,0.1,30,0.25,14,10,7.000.000,45,0.5,25,Bitkisel
1314,248,61.23,0,0,0,17.16,19.41,7.82,71,68.0,271.0,10.0,0.0,0,0.0,0,0,0.36,3.4,0.1,0.17,2.18,02.04,5,0.29,162,17,4.98,73,16.2,12,Hayvansal
1315,18.81,95.35,02.05,0.69,0.44,0.79,01.05,0.44,1.57,189.24,82.82,22.81,189.22,23,0.44,0.27,26.55,0.05,0,0.02,0.03,0,0.22,17.02,0.15,17.72,5.61,0.11,0.01,0.79,0.06,Bitkisel
1316,32,892.099.999,7.44,3.8,0,0.33,0.52,0,0,43.0,633.0,275.0,57.0,3.6,0.0,0,0,152,0,28,348,639,1.88,215,179,86,121,1.1,0.19,0.9,3.098,Bitkisel
1317,239,59.45,0,0,0,27.3,13.6,3.79,88,82.0,223.0,15.0,161.0,0,2.0,0.27,2.4,0.4,0.3,63,168,8.487,1.26,5,01.03,182,23,1.94,66,23.9,0.02,Hayvansal
1318,461,7.66,679.300.000,2.5,63.37,4.38,18.93,6.489,12,39.0,183.0,57.0,37.0,0.2,0.0,0.26,1.6,8.799.999,7.000.000,67,95,315,1.97,16,0,114,55,1.43,526,2.9,0,Mix
1319,335,11.15,70.59,10,2.6,12.62,3.1,677,0,11.0,577.0,41.0,0.0,0,0.0,0.32,7,582,0,417,0.19,6.15,04.06,54,0.44,337,251,3.12,515,5.7,02.03,Bitkisel
1320,569,2.48,54.7,1.6,44.6,6.1,35.8,18.8,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,Mikrogram,0,0,0,0,0,0,0,Mix
1321,35,90.89,6.48,1.7,2.4,01.08,0.49,0.13,0,550.0,175.0,10.0,370.0,804.000.000,0.0,0.37,7.4,224,0,57,28,0.48,0.34,10,99,20,10,0.13,66,0,122,Bitkisel
1322,47,85.95,8.75,60.000.000,8.85,0.97,0.87,295,2,1129.0,102.0,30.0,77.0,0.4,0.0,0.76,1.6,0,0.31,31,53,135,0.4,12,0,109,5,0.36,116,2,32,Bitkisel
1323,360,12.89,79.34,1.4,0,6.61,0.58,158,0,1.0,86.0,9.0,0.0,0,0.0,0.11,0,145,0,578,48,5.093,4.36,231,1.342,108,35,1.16,0.11,15.1,1.1,Bitkisel
1324,106,76.63,15.27,0.5,13.08,3.62,3.35,1.933,9,104.0,209.0,116.0,39.0,0,44.0,0.09,0.4,45,0.42,51,222,155,0.18,5,0,115,20,0.52,0.06,3.9,0,Mix
1325,432,2.46,729.000.000,10,18.6,8.9,15.7,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,Mikrogram,0,0,0,0,0,0,0,Bitkisel
1326,135.7,64.42,34.78,01.04,33.44,0.47,0.07,0.01,0,0.58,100.01,20.93,18.34,28.41,0.0,0.08,0.01,0.03,0,0.05,0.03,0.16,0.07,16.2,0.13,7.85,5.5,0.04,0.02,0.39,0.01,Bitkisel
1327,564,1.79,28.66,9.9,7.74,20.95,44.82,5.456,0,428.0,1007.0,107.0,259.0,3,0.0,2.42,13.2,1.122,0,69.500.000,234,1.373,04.03,51,513,469,109,2.34,1.293,10,1.243,Bitkisel
1328,902,0,0,0,0,0,100,29.892,710,0.0,0.0,0.0,0.0,0,332.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hayvansal
1329,270.43,40.23,35.65,1.4,24.01,04.02,13.4,2.7,2.14,2433.74,123.82,52.02,89.89,0.77,6.4,1.52,1.17,0.12,0.11,0.19,0.14,0.97,01.02,39.78,0.23,82.51,25.44,0.65,0.22,5.59,0.46,Bitkisel
1330,93.65,81.84,6.69,1.45,1.62,4.49,5.74,1.2,90.21,130.34,289.02,51.47,2349.68,8.31,20.32,2.12,128.52,0.16,0.22,0.07,0.18,0.76,1.53,52.27,0.52,81.48,30.41,0.63,0.14,8.55,0.28,Bitkisel
1331,118,75.23,14.63,1.7,3.19,3.72,4.83,1.297,6,414.0,213.0,49.0,14.0,1.2,0.0,1.76,11,124,0.05,104,0.1,2.935,0.87,33,0,59,18,0.44,8.400.000,10.6,0,Hayvansal
1332,34,89.3,6.64,2.6,1.7,2.82,0.37,39,0,33.0,316.0,47.0,623.0,89.2,0.0,0.78,101.6,175,0,7.100.000,117,639,0.73,63,57.300.000,66,21,0.41,49,2.5,0.21,Bitkisel
1333,52,85.56,13.81,2.4,10.39,0.26,0.17,28,0,1.0,107.0,6.0,54.0,4.6,0.0,0.18,2.2,41,0,17,26,91,0.12,3,61,11,5,0.04,27,0,35,Bitkisel
1334,715,1.13,13.01,9.5,3.97,919.999.999,75.23,7.238,0,1.0,392.0,67.0,104.0,0.7,0.0,2.53,0,187,0,473,0.11,1.2,2.47,15,737,263,121,4.47,1.2,6,3.7,Bitkisel
